Store,Description,Telephone,Hours
/store-directory/1st-prize-trading/,"Our DIY store specialize in all kinds of plumbing service and bathroom stainless steel accessories.

Apart from this, we retail a wide range of bulbs, light tubes, batteries, locks, electrical accessories, households and hardware products.",6344 0685,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/50-years-taste-of-tradition/,"Visit for coffee, tea, pastries, tarts, desserts, sandwiches and burger!",NIL,"Monday: 7am - 10pm
Tuesday: 7am - 10pm
Wednesday: 7am - 10pm
Thursday: 7am - 10pm
Friday: 7am - 10pm
Saturday: 7am - 10pm
Sunday: 7am - 10pm
"
/store-directory/6-elements-hair-spa/,"One-stop destination for hair and scalp healthcare. Utilizing more than 100 western herbs and botanicals, these excellent treatments prevent various hair and scalp problems from occurring. More than 100 Natural Botanicals have been used, such as: Cinnamon, Raspberry, Mulberry, Mint, Saffron, Black Sesame, Dandelion, Nettle, Turmeric, Willow Bark, Licorice, Aloe Vera, Rosemary, Sage, Green Tea, Almond, Wild Yam, Fennel, Soya Bean, Saw Palmetto. Extracted using advanced western state-of-the-art equipment, paired with professional expertise, expect a specially customized spa experience that targets your hair and scalp health by focusing on balancing its elements.",6342 5786,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 10:30am - 7:30pm
Sunday: 10:30am - 6:30pm
"
/store-directory/7-eleven/,"Established in Singapore in 1983, 7-Eleven has since expanded to over 400 stores island-wide to become the leading 24-hour convenience chain store.

7-Eleven emphasises convenience and value by offering a wide array of quality products, food and services to satisfy the needs of consumers.

Think 7-Eleven and what comes to mind are the wide range of quality ready-to-eat meals and sandwiches under 7-Select.

7-Eleven is also a 24/7 one-stop destination for customers who need to access bill payment services in their own time.

Our services cover payment of utilities, courier, ticketing and even cash withdrawal.",NIL,"Monday: 9am - 10pm
Tuesday: 9am - 10pm
Wednesday: 9am - 10pm
Thursday: 9am - 10pm
Friday: 9am - 10pm
Saturday: 9am - 10pm
Sunday: 9am - 10pm
"
/store-directory/8-Medical-Aesthetic-Clinic/,Aesthetics Clinic,NIL,"Monday: 11:30am - 8:30pm
Tuesday: 11:30am - 8:30pm
Wednesday: 11:30am - 8:30pm
Thursday: 11:30am - 8:30pm
Friday: 11:30am - 8:30pm
Saturday: 10am - 7pm
Sunday: Closed
"
/store-directory/adore-cosmetics/,"Adore Cosmetics has instituted an ingredient for better skincare known as the Queen of the Meadow: the meadowsweet extract. This herb, also known as Spiraea Ulmaria, is a traditional remedy due to its medicinal properties containing salicylic acid derivatives. Using soil-free cultivation in greenhouses and Plant Milking technology, our meadowsweet extract is derived from the roots of the living plant, accessing the richest part of the plants that are full of active ingredients. As a COSMOS-standard certified ingredient, our meadowsweet extract keeps the skin hydrated and helps skin cells to rejuvenate with a smoother look on the surface while simultaneously building a stronger barrier against wrinkles and other signs of premature aging.",6513 2676,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/aibi-health-and-sports-centre/,"AIBI is the recognized market-leader and trendsetter in the fitness industry. AIBI boasts of the largest retail network in South-East Asia, with agencies in Singapore, Malaysia, Indonesia, Brunei, China, Taiwan, and Australia. In AIBI, we always bring in the newest and innovative range of Health, Beauty and Fitness products to help our consumers to achieve quality lifestyle at every stage of their lives. AIBI is also the one-stop station to facilitate homes, professional gyms and beauty institutions.",6440 9989,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/align-braces-clinic/,"Align Braces Clinic is an accredited Platinum Elite Invisalign Singapore provider and a dedicated dental clinic for Braces in Singapore.

Their team of certified professionals embrace dentistry in the digital age - utilizing cutting edge technologies like the iTero intraoral digital scanner to deliver better treatment at cost-effective rates in a clean and comfortable environment.

They also offer a full range of dental services, providing customised and comprehensive care for both you and your family.

Let’s Set Things Straight!

Make an appointment at

parkwayparade@alignbracesclinic.com

/ 82832898 (WhatsApp) or visit our website at

https://www.alignbracesclinic.com/",65179517,"Monday: 10:30am - 7:30pm
Tuesday: 10:30am - 7:30pm
Wednesday: 10:30am - 7:30pm
Thursday: Closed
Friday: 10:30am - 7:30pm
Saturday: 10am - 5:30pm
Sunday: Closed
"
/store-directory/asics/,"ASICS is an acronym for the Latin phrase “Anima Sana In Corpore Sano”, meaning “Sound Mind In A Sound Body”, has shaped our destiny. It is the echo of our consistency, our innovation, our commitment to quality and our authenticity.",69082257,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/aslowe/,"ASLOWE is a Singapore-based fine jewellery shop with recognised expertise in pearls, jadeites and precious stones. Aslowe designs and sources unique jewellery pieces around the world for their customers from trusted global sources.",NIL,"Monday: 11:30am - 8:30pm
Tuesday: 11:30am - 8:30pm
Wednesday: 11:30am - 8:30pm
Thursday: 11:30am - 8:30pm
Friday: 11:30am - 8:30pm
Saturday: 11:30am - 8:30pm
Sunday: 11:30am - 8:30pm
"
/store-directory/aspire-hub-education/,"Recognizing the importance of the different learning abilities of students, Aspire Hub Education employs a coaching methodology, customised towards the students' individual learning needs. Aspire Hub Education's full time coaches aim to help students achieve their academic goals through personalized and interactive learning. Our curriculum caters to all primary, secondary, integrated programme, junior college students, and also those who are on the International Baccalaureate route.",NIL,"Monday: 1pm - 10pm
Tuesday: 1pm - 10pm
Wednesday: 1pm - 10pm
Thursday: 1pm - 10pm
Friday: 1pm - 10pm
Saturday: 10am - 7pm
Sunday: 10am - 7pm
"
/store-directory/asterspring/,"Established in 1984, with over 70 centres in the region, AsterSpring is a professional skincare centre, committed to helping you achieve total wellness. Our complete skin care solutions integrate effective professional skincare products, latest technologies, a unique AsterSpring touch and draws upon decades of skin management experience to deliver visible results and an unrivalled experience.",NIL,"Monday: 10:15am - 8pm
Tuesday: 10:15am - 8pm
Wednesday: 10:15am - 8pm
Thursday: 10:15am - 8pm
Friday: 10:15am - 8pm
Saturday: 10:15am - 8pm
Sunday: 10:15am - 8pm
"
/store-directory/auntie-annes/,"Auntie Anne’s hand rolled soft pretzels serves a fresh, golden brown tasty snack and satisfying treat, with a variety of flavours ranging from sweet Caramel Almond to savoury Sour Cream and Onion, along with a selection of dipping sauces to complement every pretzel flavour.",6344 9926,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9pm
Sunday: 11am - 9pm
"
/store-directory/b-for-bagel/,"B FOR BAGEL is a bagel bar that bakes chewy & soft bagels fresh every day, makes gourmet bagel sandwiches, brunches and desserts with distinctive bagels in a trendy and stylish ambiance.",NIL,"Monday: 10am - 9pm
Tuesday: 10am - 9pm
Wednesday: 10am - 9pm
Thursday: 10am - 9pm
Friday: 10am - 9pm
Saturday: 10am - 9pm
Sunday: 10am - 9pm
"
/store-directory/barani/,"Barani has over 40 years of experience in shoemaking. Meticulous craftsmanship coupled with fashion forward design is represented in every pair of shoe. We prioritise our customers, we prioritise comfort.",NIL,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/bata/,"Bata Shoe Singapore offers affordable yet quality, trendy yet comfortable footwear and accessories.",6513 4352,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/beard-papas/,"Since 1999, Beard Papa’s has been baking The World’s Best Cream Puffs. They began in Japan and have expanded to 430+ stores in the world; committed to serving pastries that are super oishii! (delicious!).

Beard Papa’s signature custard cream is made only from fresh and natural ingredients. You can smell the aroma of genuine vanilla bean, one of the most valuable spices on the planet and the richness of luxurious whipping cream and butter.",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/bedbath-n-table/,"At Bed Bath N’ Table our passion is to provide beautiful product and decorating ideas that help you to create your dream home.

Experts in the home living category, we specialise in designer bed linen, bath towels and decorator accessories, as well as entertaining products.

Australian owned, we design and develop our own product to ensure that it is always of the highest quality, whilst remaining affordable and suitable for everyday living.",6344 0427,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/bee-cheng-hiang/,"Bee Cheng Hiang has been passionately committed to making the best bakkwa since 1933. The home-grown brand uses the most natural and premium ingredients possible and maintains an unyielding position on rejecting the use of MSG, artificial preservatives, meat-tenderiser, colouring and flavouring. Known for its enterprising and innovative spirit, Bee Cheng Hiang has pioneered various products that have redefined the bakkwa industry, such as the Mini EZ Series (vacuum-packed bakkwa) and the EZ Mini Crunchies series (crunchy floss). Today, with more than 370 stores in 12 countries and regions, Bee Cheng Hiang is the largest bakkwa retailer globally.",6447 4049,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/bengawan-solo/,"A home-grown household name for the finest and freshest cakes, kueh & confectionery, Bengawan Solo uses only the best ingredients to produce home-made quality products that you will be proud to serve!",6345 6905,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/benjamin-barker/,"Benjamin Barker is a purveyor of smart-casual, heritage inspired apparel and a lifestyle destination for the discerning gentleman.",NIL,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 10pm
Saturday: 11am - 10pm
Sunday: 11am - 9pm
"
/store-directory/best-denki/,"Best Denki has been a retail specialist in providing a total solution to enhance the lifestyle of Singaporeans with the latest electrical, electronics appliances and gadgets from well-trusted brands such as Samsung, LG, Panasonic, Sony, Acer, and Asus for the past 30 years. Come visit Best Denki retail outlets for its wide selection of consumer electronics/home appliances for your electrical needs.",6440 4188,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/bmf-clinic/,"BMF Clinic, an extension of the BMF brand, offers medical aesthetics treatments, such as botox, dermal fillers, laser treatments, and hair regrowth services. They are delivered artfully by our trained doctors to help our patients achieve their aesthetical goals and be empowered to live their lives more confidently.",6245 6778,"Monday: 11am - 8pm
Tuesday: 11am - 8pm
Wednesday: 11am - 8pm
Thursday: 11am - 8pm
Friday: 11am - 8pm
Saturday: 11am - 5pm
Sunday: Closed
"
/store-directory/bmf-the-aesthetics-people/,"At BMF The Aesthetics People, you will get to experience the best of beauty with our world-class and innovative high energy treatments that produce outstanding results - all while enjoying a pampering and enjoyable experience. If you are looking for a solution to your skin/body/hair concerns—or just to unwind yourself with a relaxing treatment— make BMF The Aesthetics People your next destination.

www.bmf.com.sg",6245 6678,"Monday: 11am - 8pm
Tuesday: 11am - 8pm
Wednesday: 11am - 8pm
Thursday: 11am - 8pm
Friday: 11am - 8pm
Saturday: 11am - 5pm
Sunday: 11am - 5pm
"
/store-directory/boost-juice/,"Boost Juice - the nation’s favorite makers of fresh smoothies and juices! We serve millions of Malaysians / Singaporeans our iconic green cups, filled with fruit and veggies deliciousness.

Deliciousness that comes from simple, natural goodness, served to you with a love life attitude that will make you so happy you’ll probably end up high fiving random strangers.

It’s about making healthy living easy!! So naturally, nutrition is a key component in developing our range of smoothies and juices that sees us blending through millions of tonnes of fruit and veggies every year.

Don’t believe us? Let us prove it! Come and see us at Boost Juice and try it for yourself.",98419815,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/bose/,"Bose is the leading brand in the audio industry with near 60 years in producing quality audio equipment.

Bose believes in the power of sound being the most powerful force on earth and has been dedicated in improving sound for nearly 60 years.",6387 0828,"Monday: 10am - 9pm
Tuesday: 10am - 9pm
Wednesday: 10am - 9pm
Thursday: 10am - 9pm
Friday: 10am - 9pm
Saturday: 10am - 9pm
Sunday: 10am - 9pm
"
/store-directory/bottles-and-bottles/,"In simple words, we’re your wine experts.

We at Bottles & Bottles pride ourselves as the prominent wine procurer and provider for the perfect occasion. From enchanting wedding celebrations to professional corporate events, our steadfast dedication over the years has proven to be the bedrock of our expertise; which is providing our customers with the assurance of the world’s finest wines, and the best quality service.

As a retailer and wholesaler of a wide variety of flavourful wines and spirits since 2004, we have established ourselves in the marketplace as the trusted source and people’s choice in wine selections for the perfect occasions.",6348 2847,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 10am - 9:30pm
Sunday: 10am - 9:30pm
"
/store-directory/bountifuliving/,"Bountifuliving specialises in bedlinen and bedding

products. Our company is committed to providing

customers with the best quality products for their price.

Our products come in a variety of designs and features

to suit your different needs and preferences.",6970 1371,"Monday: 11am - 9pm
Tuesday: 11am - 9pm
Wednesday: 11am - 9pm
Thursday: 11am - 9pm
Friday: 11am - 9pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9pm
"
/store-directory/braun-buffel/,"For over a century, Braun Büffel has remained an emblem of style, strength, and dependability, transcending its humble beginnings as a family trade in Kirn, Germany to become a renowned symbol of global recognition. With each meticulously crafted creation, Braun Büffel exemplifies unwavering craftsmanship, timeless appeal, and a rich legacy of excellence that continues to define the brand.",NIL,"Monday: 10:30am - 10pm
Tuesday: 10:30am - 10pm
Wednesday: 10:30am - 10pm
Thursday: 10:30am - 10pm
Friday: 10:30am - 10pm
Saturday: 10:30am - 10pm
Sunday: 10:30am - 10pm
"
/store-directory/breadtalk/,"A staple in the diet of many in Asia, BreadTalk honours the art of bread-making by giving life to their novel creations since its inception. In the continual process of creativity and innovation, BreadTalk has evolved and grow as an internationally recognized bakery brand over the last 14 years. BreadTalk have recently launched a new range of natural yeast products which contain wholesome ingredients which caters to customers looking for healthier alternatives, a testament to BreadTalk's unwavering commitment to provide better-for-you choices. Through the widespread accessibility of BreadTalk stores worldwide, BreadTalk is committed to bringing wholesome products to its customers, wherever they may be.",6345 4464,"Monday: 9am - 10pm
Tuesday: 9am - 10pm
Wednesday: 9am - 10pm
Thursday: 9am - 10pm
Friday: 9am - 10pm
Saturday: 9am - 9:30pm
Sunday: 9am - 9:30pm
"
